Genus,Species,Season,n,meanFFD,daysperC,R2,F-val,p-val,event,
Asparagus,officinalis,Annual,17,151.2941,-7.3283,0.19007,3.5202,0.08022,ffd,
Aster,acuminatus,Annual,16,227.75,17.6391,0.25465,4.7832,0.046206,ffd,
Aster,cordifolius,Annual,17,224.9412,16.8743,0.39842,9.9342,0.0065814,ffd,
Aster,divaricatus,Annual,6,220.5,-4.0187,0.55807,5.0511,0.087891,ffd,
Aster,dumosus,Annual,20,219.6,3.2863,0.038572,0.72215,0.4066,ffd,
Aster,laevis,Annual,16,234.5625,-0.27287,8.0364e-05,0.0011252,0.97371,ffd,
Aster,linariifolius,Annual,21,203.8095,-2.8324,0.0089157,0.17092,0.68392,ffd,
Aster,macrophyllus,Annual,18,212,-0.60631,0.00095646,0.015318,0.90304,ffd,
Aster,novae-angliae,Annual,14,253.7143,0.63218,0.0027267,0.03281,0.85929,ffd,
Aster,novi-belgii,Annual,15,237.5333,-0.061591,6.6594e-06,8.6572e-05,0.99272,ffd,
Aster,patens,Annual,17,221.0588,-5.6996,0.063197,1.0119,0.3304,ffd,
Aster,puniceus,Annual,18,238.0556,-8.9421,0.099891,1.7756,0.20136,ffd,
Aster,radula,Annual,17,216.8235,1.6369,0.010762,0.16318,0.69195,ffd,
Aster,simplex,Annual,5,242,15.069,0.85969,18.3808,0.023323,ffd,
Aster,umbellatus,Annual,20,212.1,-0.45996,0.00047559,0.0085646,0.92729,ffd,
Aster,undulatus,Annual,16,231,3.9494,0.058029,0.86245,0.36879,ffd,
Aster,vimineus,Annual,19,220.1579,-5.214,0.073879,1.3561,0.26029,ffd,
Aureolaria,flava,Annual,18,218.7222,-1.6437,0.0046771,0.075185,0.78744,ffd,
Baptisia,tinctoria,Annual,22,180.8182,-2.7041,0.021863,0.44704,0.51139,ffd,
Barbarea,vulgaris,Annual,21,130.0476,-9.2143,0.52209,20.7561,0.000216,ffd,
Berberis,vulgaris,Annual,23,142.087,-4.8562,0.19222,4.9973,0.036377,ffd,
Bidens,cernua,Annual,15,239.5333,-2.3277,0.038556,0.52133,0.48306,ffd,
